label,class,name,color,group,lane,time1,time2,status,starting_time,ending_time
person_a,a,test1,green,1,1,1703808000000 ,1703814500000 ,Wait,2023/12/29 0:00:00,2023/12/29 1:48:20
person_a,d,test2,blue,1,1,1703850510000 ,1703870010000 ,Wait,2023/12/29 11:48:30,2023/12/29 17:13:30
person_a,a,test5,red,1,2,1703809000000 ,1703819900000 ,Fix,2023/12/29 0:16:40,2023/12/29 3:18:20
person_b,a,test3,pink,2,3,1703807000000 ,1703808990000 ,Wait,2023/12/28 23:43:20,2023/12/29 0:16:30
person_c,c,test4,yellow,3,4,1703808000000 ,1703810000000 ,Wait,2023/12/29 0:00:00,2023/12/29 0:33:20
person_a,a,test1,green,1,1,1703808000000 ,1703814500000 ,Wait,2023/12/29 0:00:00,2023/12/29 1:48:20
person_a,b,test2,blue,1,1,1703850510000 ,1703870010000 ,Wait,2023/12/29 11:48:30,2023/12/29 17:13:30
person_a,a,test5,red,1,2,1703809000000 ,1703819900000 ,Wait,2023/12/29 0:16:40,2023/12/29 3:18:20
person_b,b,test3,pink,2,3,1703807000000 ,1703808990000 ,Wait,2023/12/28 23:43:20,2023/12/29 0:16:30
person_c,c,test4,yellow,3,4,1703808000000 ,1703810000000 ,Wait,2023/12/29 0:00:00,2023/12/29 0:33:20
person_c,c,test6,yellow,3,5,1703808021352 ,1703810021352 ,Wait,2023/12/29 0:00:21,2023/12/29 0:33:41
person_c,c,test7,yellow,3,6,1703808528626 ,1703810528626 ,Wait,2023/12/29 0:08:49,2023/12/29 0:42:09
person_c,c,test8,yellow,3,7,1703808587879 ,1703813744979 ,Wait,2023/12/29 0:09:48,2023/12/29 1:35:45
person_c,c,test9,yellow,3,8,1703809386703 ,1703810344378 ,Wait,2023/12/29 0:23:07,2023/12/29 0:39:04
person_c,c,test10,yellow,3,9,1703810035093 ,1703814593550 ,Wait,2023/12/29 0:33:55,2023/12/29 1:49:54
person_c,c,test11,yellow,3,10,1703810827086 ,1703820741355 ,Wait,2023/12/29 0:47:07,2023/12/29 3:32:21
person_c,c,test12,yellow,3,11,1703811236794 ,1703816835301 ,Wait,2023/12/29 0:53:57,2023/12/29 2:27:15
person_c,c,test13,yellow,3,12,1703811467793 ,1703817217410 ,Wait,2023/12/29 0:57:48,2023/12/29 2:33:37
person_c,c,test14,yellow,3,13,1703811565526 ,1703816246925 ,Wait,2023/12/29 0:59:26,2023/12/29 2:17:27
person_c,c,test15,yellow,3,14,1703812054889 ,1703820191740 ,Wait,2023/12/29 1:07:35,2023/12/29 3:23:12
person_c,c,test16,yellow,3,15,1703812958337 ,1703813317256 ,Wait,2023/12/29 1:22:38,2023/12/29 1:28:37
person_c,c,test17,yellow,3,16,1703813305897 ,1703818795347 ,Fix,2023/12/29 1:28:26,2023/12/29 2:59:55
person_c,c,test18,yellow,3,17,1703813747195 ,1703821668553 ,Wait,2023/12/29 1:35:47,2023/12/29 3:47:49
person_c,c,test19,yellow,3,18,1703813834861 ,1703815452464 ,Wait,2023/12/29 1:37:15,2023/12/29 2:04:12
person_c,c,test20,yellow,3,19,1703814620500 ,1703816861014 ,Wait,2023/12/29 1:50:20,2023/12/29 2:27:41
person_c,c,test21,yellow,3,20,1703815059529 ,1703824524031 ,Wait,2023/12/29 1:57:40,2023/12/29 4:35:24
person_c,c,test22,yellow,3,21,1703815154100 ,1703821401357 ,Wait,2023/12/29 1:59:14,2023/12/29 3:43:21
person_c,c,test23,yellow,3,22,1703815810861 ,1703818568843 ,Wait,2023/12/29 2:10:11,2023/12/29 2:56:09
person_c,c,test24,yellow,3,23,1703816541030 ,1703819193398 ,Wait,2023/12/29 2:22:21,2023/12/29 3:06:33
person_c,c,test25,yellow,3,24,1703816577648 ,1703816831870 ,Wait,2023/12/29 2:22:58,2023/12/29 2:27:12
person_c,c,test26,yellow,3,25,1703817250318 ,1703822496792 ,Wait,2023/12/29 2:34:10,2023/12/29 4:01:37
person_c,c,test27,yellow,3,26,1703818129697 ,1703824312502 ,Wait,2023/12/29 2:48:50,2023/12/29 4:31:53
person_c,c,test28,yellow,3,27,1703818172718 ,1703821802459 ,Wait,2023/12/29 2:49:33,2023/12/29 3:50:02
person_c,c,test29,yellow,3,28,1703818813254 ,1703822370485 ,Wait,2023/12/29 3:00:13,2023/12/29 3:59:30
person_c,c,test30,yellow,3,29,1703818975124 ,1703826029876 ,Wait,2023/12/29 3:02:55,2023/12/29 5:00:30
person_c,c,test31,yellow,3,30,1703819455459 ,1703825312747 ,Wait,2023/12/29 3:10:55,2023/12/29 4:48:33
person_c,c,test32,yellow,3,31,1703820408006 ,1703827996235 ,Wait,2023/12/29 3:26:48,2023/12/29 5:33:16
person_c,c,test33,yellow,3,32,1703820652185 ,1703826716441 ,Wait,2023/12/29 3:30:52,2023/12/29 5:11:56
person_c,c,test34,yellow,3,33,1703821543775 ,1703831293271 ,Wait,2023/12/29 3:45:44,2023/12/29 6:28:13
person_c,c,test35,yellow,3,34,1703822111028 ,1703828868992 ,Wait,2023/12/29 3:55:11,2023/12/29 5:47:49
person_c,c,test36,yellow,3,35,1703822914268 ,1703824631035 ,Wait,2023/12/29 4:08:34,2023/12/29 4:37:11
person_c,c,test37,yellow,3,36,1703823273739 ,1703830731538 ,Wait,2023/12/29 4:14:34,2023/12/29 6:18:52
person_c,c,test38,yellow,3,37,1703823882268 ,1703829145427 ,Wait,2023/12/29 4:24:42,2023/12/29 5:52:25
person_c,c,test39,yellow,3,38,1703824736436 ,1703833453944 ,Wait,2023/12/29 4:38:56,2023/12/29 7:04:14
person_c,c,test40,yellow,3,39,1703825193731 ,1703832359285 ,Wait,2023/12/29 4:46:34,2023/12/29 6:45:59
person_c,c,test41,yellow,3,40,1703825270446 ,1703829775242 ,Wait,2023/12/29 4:47:50,2023/12/29 6:02:55
person_c,c,test42,yellow,3,41,1703825335749 ,1703830494353 ,Wait,2023/12/29 4:48:56,2023/12/29 6:14:54
person_c,c,test43,yellow,3,42,1703825942885 ,1703835419433 ,Wait,2023/12/29 4:59:03,2023/12/29 7:36:59
person_c,c,test44,yellow,3,43,1703826521773 ,1703826784329 ,Wait,2023/12/29 5:08:42,2023/12/29 5:13:04
person_c,c,test45,yellow,3,44,1703827019054 ,1703836095574 ,Wait,2023/12/29 5:16:59,2023/12/29 7:48:16